paper,group_comparison,needed_for,what_to_extract,status,notes
"Smith et al. 2014","controls vs H vs MTL","figure1","study-list sizes by material; test sizes by material and delay; confidence-bin counts for old and new items; plotted ROC if available","needs follow-up","best single source for a three-group ROC comparison; likely requires full-text pass or raw data request"
"Yonelinas et al. 2002","controls vs mild hypoxia vs extensive temporal lobe damage","figure1 comparison set","exact stimuli; confidence format; ROC points or process estimates","needs follow-up","important missed paper; likely useful even if only as conceptual benchmark"
"Dede et al. 2013","controls vs H","figure1","confidence-bin counts or ROC points; model parameter values; exact word source","partly found","methods are detailed in PMC; summary hit/FA and model-parameter data are available"
"Wais et al. 2006","controls vs H","figure1","exact stimulus class; list sizes; confidence scale; empirical ROC points or enough counts to reconstruct","needs follow-up","important hippocampal ROC benchmark and counterpoint"
"Song et al. 2011","controls vs H","figure1","old/new confidence distributions from Fig. 1; sample sizes; exact study/test counts","partly found","paper already reports a 1-20 confidence scale and visible distributions"
"Aggleton et al. 2005","KN vs controls","figure1 discussion","task details; ROC method; sample sizes","needs follow-up","single-case benchmark, not main bar"
"Bowles et al. 2007","NB vs controls","figure1 optional overlay","stimulus details; ROC extraction if used","partly found","helpful for familiarity-impaired reference, but not broader MTL+"
"Manns et al. 2003","controls vs H","background","which recognition tasks are most visually adaptable","needs follow-up","important but not obviously ROC-ready"
"Jeneson et al. 2010","controls vs H","figure2","exact stimulus construction; number of sessions; object vs silhouette conditions; FC-C and FC-NC accuracy","partly found","main AFC benchmark"
"Bayley et al. 2008","controls vs H","figure2","exact FC and Y/N accuracy values; whether silhouettes are reusable or reproducible","partly found","very clear task structure from published summary"
"Migo et al. 2009","controls only","figure2 interpretation","which summary statistics are reported for Y/N vs FC-C vs FC-NC","partly found","important validation paper for format logic"
"MTL+ AFC source","controls vs broader MTL","figure2 optional","directly matched AFC with similar foils","not found","no clean broad-MTL AFC benchmark identified yet"
