figure,paper,year,groups,task,stimuli,key_details,primary_use,data_status,link
figure1,"Smith et al.","2014","controls; hippocampal lesions; broader MTL lesions","old/new recognition with confidence","faces; buildings; words","confidence ratings; multiple retention intervals; visual materials available","main three-group ROC anchor","confidence-based task confirmed; full ROC extraction may require raw/bin data","https://pubmed.ncbi.nlm.nih.gov/24958865/"
figure1,"Yonelinas et al.","2002","mild hypoxia; extensive temporal lobe damage; controls","ROC plus remember/know","needs extraction","classic lesion comparison for recollection vs familiarity","major conceptual benchmark","public abstract and figure summaries; raw data not found","https://pubmed.ncbi.nlm.nih.gov/12379865/"
figure1,"Dede et al.","2013","controls; hippocampal lesions","old/new recognition with confidence","words","50 study words; 50 old + 50 new test; 6-point confidence scale; supplementary available","selective-hippocampal confidence benchmark","methods and summary data publicly available; raw confidence counts not obvious","https://pmc.ncbi.nlm.nih.gov/articles/PMC3631653/"
figure1,"Wais et al.","2006","controls; hippocampal lesions","old/new recognition ROC","needs extraction","confidence-rated recognition; ROC analysis","hippocampal ROC comparison","task confirmed; exact counts/details still need extraction","https://pubmed.ncbi.nlm.nih.gov/16446148/"
figure1,"Song et al.","2011","controls; hippocampal lesions","old/new recognition with confidence plus remember/know","words","confidence scale 1-20; confidence distributions plotted","hippocampal ROC sanity check","high likelihood of ROC reconstruction from paper figures","https://pubmed.ncbi.nlm.nih.gov/21606344/"
figure1,"Aggleton et al.","2005","single hippocampal case; controls","ROC plus remember/know","needs extraction","single-case hippocampal pathology KN","discussion and qualitative support","not ideal for group bar; useful interpretive benchmark","https://research.manchester.ac.uk/portal/en/publications/sparing-of-the-familiarity-component-of-recognition-memory-in-a-patient-with-hippocampal-pathology%2889a0205c-2b6c-4e21-a8a6-a49a9b8413cf%29/export.html"
figure1,"Bowles et al.","2007","single MTL-cortex case with hippocampus spared; controls","old/new recognition ROC plus remember/know and response deadline","likely words","ROC shown; familiarity-impaired profile","optional familiarity-impaired overlay","useful add-on; not broader MTL+ anchor","https://pubmed.ncbi.nlm.nih.gov/17905870/"
figure1,"Manns et al.","2003","controls; hippocampal lesions","recognition memory","standard recognition tests","important selective-hippocampal recognition benchmark, but not the best ROC source","background and discussion","useful context; not main figure source","https://pubmed.ncbi.nlm.nih.gov/12526782/"
figure2,"Jeneson et al.","2010","controls; hippocampal lesions","Y/N; FC-C; FC-NC","similar objects or silhouettes","study 12 items; 45 sec delay; familiarity-targeted format manipulation","main AFC benchmark","core comparison available","https://pubmed.ncbi.nlm.nih.gov/20047986/"
figure2,"Bayley et al.","2008","controls; hippocampal lesions","Y/N and forced-choice recognition","silhouettes of objects","study 12 items; 45 sec delay; FC uses 1 target plus 3 similar foils","companion AFC benchmark","core comparison available","https://pubmed.ncbi.nlm.nih.gov/18004951/"
figure2,"Migo et al.","2009","healthy controls","Y/N; FC-C; FC-NC","similar foils","direct validation that FC-C is relatively familiarity-friendly","theoretical validation of AFC format","article public in PMC; no lesion group","https://pubmed.ncbi.nlm.nih.gov/19096990/"
figure2,"Holdstock et al.","2002","single hippocampal case; controls","forced-choice recognition vs recall","objects","historical spared-recognition benchmark","background and discussion","not ideal as main quantitative bar","https://www.research.ed.ac.uk/en/publications/under-what-conditions-is-recognition-spared-relative-to-recall-af"
